2r5/1Q1bqk1p/4pppP/1pP5/p3p1B1/P1P5/5PP1/1R4K1 w - - 4 36,0.0
4b3/5k1p/4pppP/2P5/p3p1B1/P1P5/5PP1/6K1 w - - 0 39,0.0
5rk1/3bq2p/3npppP/1pPp4/pR2P1B1/P1P5/5PPQ/1R4K1 b - - 0 32,0.07
2r5/1Q2qk1p/4pppP/1bP5/p3p1B1/P1P5/5PP1/6K1 w - - 0 37,0.18
2Q5/4qk1p/4pppP/1bP5/p3p1B1/P1P5/5PP1/6K1 b - - 0 37,0.02
2Q1q3/5k1p/4pppP/1bP5/p3p1B1/P1P5/5PP1/6K1 w - - 1 38,0.02
5rk1/2Qbq2p/4p1pP/1pP2p2/p3p3/P1P5/4BPP1/1R4K1 b - - 1 35,1.99
2r3k1/2Qbq2p/4p1pP/1pP2p2/p3p3/P1P5/4BPP1/1R4K1 w - - 2 36,3.8
5rk1/3bq2p/4pppP/1pPp4/pR2n1B1/P1P5/5PPQ/1R4K1 w - - 0 33,0.03
2r3k1/1Q1bq2p/4p1pP/1pP2p2/p3p3/P1P5/4BPP1/1R4K1 b - - 3 36,3.67
6k1/1Q1bq2p/4p1pP/1pr2p2/p3p3/P1P5/4BPP1/1R4K1 w - - 0 37,4.02
5rk1/3bq2p/3npppP/1prp4/pR1PP1B1/P1P5/5PPQ/1R4K1 w - - 0 32,0.27
